date,high,low,open,volume,adj_close,rolling_ma,RSI,MACD,Signal_Line,MACD_Histogram,SMA_20,upper_band,lower_band,year,month,day,weekday,Fourier_Sin_7,Fourier_Cos_7,Fourier_Sin_30,Fourier_Cos_30
1981-03-18,0.0892824078131068,0.0884239748120307,0.0884239748120307,36937600,0.0884239748120307,0.0826798388724773,62.38530784685511,-0.0036206746348498,-0.0042753503645504,0.0006546757297005,0.0850411400303079,0.1005430232683183,0.0695392567922974,1981,3,18,2,4.411204399476825e-15,1.0,-0.4067366430757985,-0.9135454576426016
1981-03-19,0.0879947623868569,0.0875655487179756,0.0879947623868569,37811200,0.0875655487179756,0.083568149753477,59.81428500849765,-0.0029909781659152,-0.0040184759248233,0.0010274977589081,0.0852815599053238,0.1001049824475354,0.0704581373631123,1981,3,19,3,0.7818314824680281,0.6234898018587357,-0.5877852522924726,-0.8090169943749478
1981-03-20,0.0892824078131068,0.0884239748120307,0.0884239748120307,14604800,0.0884239748120307,0.0844510270368504,61.638464228553,-0.0023950625754474,-0.0036937932549481,0.0012987306795007,0.0855808375154864,0.0998072019438442,0.0713544730871286,1981,3,20,4,0.9749279121818226,-0.2225209339563186,-0.7431448254773946,-0.6691306063588578
1981-03-23,0.0927169018964459,0.0918584689497947,0.0918584689497947,22019200,0.0918584689497947,0.0857978346573857,68.28465774439931,-0.0016269062405818,-0.0032804158520749,0.0016535096114931,0.0861787071758967,0.1002290506814591,0.0721283636703343,1981,3,23,0,-0.974927912181823,-0.2225209339563172,-0.9945218953682732,-0.1045284632676565
1981-03-24,0.0918584320854268,0.0914292186498642,0.0918584320854268,28156800,0.0914292186498642,0.0868217226560181,66.6201779782354,-0.0010407763014014,-0.0028324879419402,0.0017917116405388,0.0866787558877031,0.1004123975788519,0.0729451141965544,1981,3,24,1,-0.7818314824680273,0.6234898018587368,-0.9945218953682732,0.1045284632676551
1981-03-25,0.090570820570745,0.0897116139531135,0.090570820570745,7056000,0.0897116139531135,0.0873471574373082,59.88102761736398,-0.000706713888378,-0.0024073331312277,0.0017006192428497,0.0869675995129803,0.1001580118143876,0.0737771872115731,1981,3,25,2,-2.939152317953648e-15,1.0,-0.9510565162951538,0.3090169943749468
1981-03-26,0.0884239811618764,0.0879947617650032,0.0884239811618764,12275200,0.0879947617650032,0.0874649036787073,53.62466975450533,-0.0005738872277858,-0.0020406439505394,0.0014667567227535,0.0870654244893635,0.0996272537452434,0.0745035952334835,1981,3,26,3,0.7818314824680324,0.6234898018587303,-0.8660254037844384,0.5000000000000004
1981-03-27,0.0854194317929116,0.0849902182817459,0.0854194317929116,12252800,0.0849902182817459,0.0870149608792597,44.28231865604432,-0.0007029594128492,-0.0017731070430013,0.0010701476301521,0.0868677858029237,0.0988816715493547,0.0748539000564927,1981,3,27,4,0.9749279121818244,-0.2225209339563114,-0.7431448254773955,0.6691306063588568
1981-03-30,0.0858486510351004,0.0849902182817459,0.0849902182817459,9900800,0.0849902182817459,0.08664682586153,44.28231865604432,-0.0007960734106868,-0.0015777003165384,0.0007816269058516,0.0866889698485258,0.0981722795262199,0.0752056601708317,1981,3,30,0,-0.9749279121818244,-0.2225209339563105,-0.2079116908177577,0.978147600733806
1981-03-31,0.0849902551154012,0.0841318219900131,0.0849902551154012,15993600,0.0841318219900131,0.0861895524303451,41.53023818526209,-0.0009284299688951,-0.0014478462470098,0.0005194162781146,0.0864454319572389,0.0974763029826829,0.0754145609317949,1981,3,31,1,-0.7818314824680318,0.623489801858731,-7.34788079488412e-16,1.0
1981-04-01,0.0837025854044729,0.0832733660936355,0.0837025854044729,34070400,0.0832733660936355,0.0856593367327615,38.75120310989141,-0.0010900285407763,-0.0013762827057631,0.0002862541649867,0.0861433304464195,0.0968083264515732,0.0754783344412658,1981,4,1,2,-1.028950903538412e-14,1.0,0.2079116908177597,0.9781476007338056
1981-04-02,0.0910000284798797,0.0905708149075508,0.0905708149075508,31404800,0.0905708149075508,0.0865523327645414,63.02166141184762,-0.0006220824619004,-0.0012254426569905,0.00060336019509,0.0865649956331939,0.0970541143929686,0.0760758768734193,1981,4,2,3,0.7818314824680278,0.623489801858736,0.4067366430757984,0.9135454576426016
1981-04-03,0.0914292397697308,0.0910000205039978,0.0910000205039978,16486400,0.0910000205039978,0.0873610032626243,63.99004021975236,-0.0002141301592253,-0.0010231801574375,0.0008090499982121,0.0869873789542229,0.0973159639170901,0.0766587939913556,1981,4,3,4,0.974927912181826,-0.2225209339563043,0.5877852522924725,0.8090169943749479
1981-04-06,0.0897115995351104,0.0892823860049247,0.0897115995351104,22803200,0.0892823860049247,0.0877103455794062,57.08688678288176,-2.908845581077457e-05,-0.0008243618171121,0.0007952733613014,0.0872059510542897,0.0971271730710999,0.0772847290374795,1981,4,6,0,-0.9749279121818228,-0.2225209339563176,0.9510565162951532,0.3090169943749482
1981-04-07,0.0888531884470564,0.0884239748120307,0.0888531884470564,10684800,0.0884239748120307,0.0878400963489743,53.74359427220814,4.774148396478883e-05,-0.0006499411568967,0.0006976826408615,0.0873219533169317,0.096787393477481,0.0778565131563825,1981,4,7,1,-0.7818314824680364,0.6234898018587254,0.994521895368273,0.1045284632676566
1981-04-08,0.0935753354466182,0.0927169024944305,0.0927169024944305,21952000,0.0927169024944305,0.0887267883754209,65.4272358775234,0.0004498475882656,-0.0004299834078642,0.0008798309961299,0.087835758000503,0.0974076727374592,0.0782638432635469,1981,4,8,2,-3.429011037612589e-15,1.0,0.9945218953682736,-0.1045284632676515
1981-04-09,0.0948629889306937,0.094433769583702,0.094433769583702,12499200,0.094433769583702,0.0897644213223811,69.03626729387497,0.0008967195735343,-0.0001646428115845,0.0010613623851188,0.0884641400560458,0.0983984366963161,0.0785298434157754,1981,4,9,3,0.781831482468032,0.6234898018587307,0.951056516295154,-0.3090169943749467
